,genes,description,MF Terms,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum
0,LAMC1,laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492],['extracellular matrix constituent conferring elasticity'],1,0,0,0,0,0,1,1,1,2
443,EEF2K,eukaryotic elongation factor 2 kinase [Source:HGNC Symbol;Acc:HGNC:24615],"['calmodulin binding', 'calcium ion binding', 'elongation factor-2 kinase activity', 'translation factor activity, RNA binding', 'ATP binding']",1,0,0,0,0,0,0,1,0,1
444,HTR2A,5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293],"['G-protein alpha-subunit binding', '1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding', 'virus receptor activity', 'neurotransmitter receptor activity', 'Gq/11-coupled serotonin receptor activity', 'serotonin binding', 'identical protein binding', 'protein-containing complex binding']",1,0,1,0,0,0,0,2,0,2
445,SEMA4B,semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730],"['chemorepellent activity', 'semaphorin receptor binding']",1,0,0,0,0,0,0,1,0,1
446,ARHGDIA,Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678],"['GTPase activator activity', 'small GTPase binding', 'Rho GDP-dissociation inhibitor activity']",1,1,1,1,1,1,1,3,4,7
447,MAP2K1,mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840],"['protein tyrosine kinase activity', 'protein serine/threonine kinase activity', 'protein N-terminus binding', 'scaffold protein binding', 'ATP binding', 'MAP-kinase scaffold activity', 'protein serine/threonine kinase activator activity', 'MAP kinase kinase activity', 'protein C-terminus binding']",1,1,1,1,1,0,1,3,3,6
448,PRRT2,proline rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30500],"['SH3 domain binding', 'syntaxin-1 binding']",1,0,0,1,1,0,1,1,3,4
449,CDH2,cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759],"['calcium ion binding', 'cadherin binding', 'protein kinase binding', 'alpha-catenin binding', 'identical protein binding', 'gamma-catenin binding', 'beta-catenin binding', 'protein phosphatase binding']",1,1,1,1,1,1,1,3,4,7
450,PLEKHA5,pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036],"['phosphatidylinositol-5-phosphate binding', 'phosphatidylinositol-4-phosphate binding', 'protein binding', 'phosphatidylinositol-3-phosphate binding', 'phosphatidylinositol-3,5-bisphosphate binding']",1,1,0,0,0,1,1,2,2,4
451,GSK3B,glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617],"['protein serine kinase activity', 'p53 binding', 'protein kinase A catalytic subunit binding', 'ubiquitin protein ligase binding', 'RNA polymerase II transcription factor binding', 'tau protein binding', 'ATP binding', 'tau-protein kinase activity', 'protein threonine kinase activity', 'dynactin binding', 'protease binding', 'NF-kappaB binding', 'beta-catenin binding']",1,1,1,1,1,1,1,3,4,7
452,TNC,tenascin C [Source:HGNC Symbol;Acc:HGNC:5318],"['syndecan binding', 'extracellular matrix structural constituent']",1,1,0,1,0,1,1,2,3,5
453,CADM1,cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951],"['protein homodimerization activity', 'PDZ domain binding', 'signaling receptor binding']",1,0,1,1,0,0,1,2,2,4
454,PUM2,pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958],"[""mRNA 3'-UTR binding"", 'protein binding', 'miRNA binding']",1,0,0,1,0,0,1,1,2,3
455,ATP6V0A1,ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865],"['ATPase binding', 'proton-transporting ATPase activity, rotational mechanism']",1,1,1,1,1,1,1,3,4,7
456,ARC,activity regulated cytoskeleton associated protein [Source:HGNC Symbol;Acc:HGNC:648],"['protein binding', 'mRNA binding']",1,1,0,0,0,0,0,2,0,2
457,LRRC4,leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:15586],['protein binding'],1,0,0,0,0,0,0,1,0,1
458,PRKCA,protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393],"['zinc ion binding', 'enzyme binding', 'calcium-dependent protein kinase C activity', 'integrin binding', 'histone kinase activity (H3-T6 specific)', 'ATP binding']",1,1,1,1,1,0,1,3,3,6
459,RPS24,ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411],"['RNA binding', 'translation initiation factor binding', 'structural constituent of ribosome']",1,0,0,1,0,0,1,1,2,3
460,CYTH2,cytohesin 2 [Source:HGNC Symbol;Acc:HGNC:9502],"['protein binding', 'guanyl-nucleotide exchange factor activity', 'lipid binding', 'inositol 1,4,5 trisphosphate binding']",1,0,0,1,0,1,1,1,3,4
461,FYN,"FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]","['alpha-tubulin binding', 'ion channel binding', 'peptide hormone receptor binding', 'tau-protein kinase activity', 'growth factor receptor binding', 'CD4 receptor binding', 'CD8 receptor binding', 'type 5 metabotropic glutamate receptor binding', 'T cell receptor binding', 'enzyme binding', 'phosphatidylinositol 3-kinase binding', 'non-membrane spanning protein tyrosine kinase activity', 'identical protein binding', 'ephrin receptor binding', 'ATP binding', 'metal ion binding', 'disordered domain specific binding', 'tau protein binding']",1,1,0,1,1,1,1,2,4,6
462,P2RX1,purinergic receptor P2X 1 [Source:HGNC Symbol;Acc:HGNC:8533],"['zinc ion binding', 'purinergic nucleotide receptor activity', 'identical protein binding', 'extracellularly ATP-gated cation channel activity', 'ATP binding', 'protein-containing complex binding', 'drug binding']",1,0,1,0,0,0,0,2,0,2
463,SYN3,synapsin III [Source:HGNC Symbol;Acc:HGNC:11496],['ATP binding'],1,1,1,1,1,1,1,3,4,7
464,GPHN,gephyrin [Source:HGNC Symbol;Acc:HGNC:15465],"['molybdopterin molybdotransferase activity', 'identical protein binding', 'ATP binding', 'metal ion binding', 'molybdopterin adenylyltransferase activity', 'molybdopterin cofactor binding', 'nitrate reductase activity']",1,1,0,1,1,1,1,2,4,6
465,SYP,synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506],"['SH2 domain binding', 'identical protein binding', 'syntaxin-1 binding', 'cholesterol binding', 'protein self-association']",1,1,1,0,1,1,1,3,3,6
466,RPS27A,ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417],"['ubiquitin protein ligase binding', 'structural constituent of ribosome', 'metal ion binding', 'RNA binding', 'protein tag']",1,1,1,1,0,0,0,3,1,4
467,VPS16,VPS16 core subunit of CORVET and HOPS complexes [Source:HGNC Symbol;Acc:HGNC:14584],['actin filament binding'],1,0,0,1,0,1,1,1,3,4
468,DMD,dystrophin [Source:HGNC Symbol;Acc:HGNC:2928],"['zinc ion binding', 'dystroglycan binding', 'nitric-oxide synthase binding', 'structural constituent of muscle', 'actin binding', 'myosin binding', 'vinculin binding', 'structural constituent of cytoskeleton']",1,0,0,1,1,0,0,1,2,3
469,GRM7,glutamate metabotropic receptor 7 [Source:HGNC Symbol;Acc:HGNC:4599],"['serine binding', 'adenylate cyclase inhibitor activity', 'group III metabotropic glutamate receptor activity']",1,1,1,1,0,0,0,3,1,4
470,KLHL17,kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023],"['molecular adaptor activity', 'actin filament binding', 'POZ domain binding']",1,0,0,0,0,0,0,1,0,1
471,SPTBN2,"spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]","['phospholipid binding', 'cadherin binding', 'structural constituent of synapse', 'actin binding', 'structural constituent of cytoskeleton']",1,1,1,0,0,1,1,3,2,5
472,PFN1,profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881],"['actin monomer binding', 'small GTPase binding', 'proline-rich region binding', 'cadherin binding', 'phosphatidylinositol-4,5-bisphosphate binding', 'phosphotyrosine residue binding', 'adenyl-nucleotide exchange factor activity', 'RNA binding', 'signaling receptor binding']",1,1,1,0,0,0,0,3,0,3
473,RPL21,ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,0,0,1,1,0,1,1,3,4
474,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1 [Source:HGNC Symbol;Acc:HGNC:24634],"['cadherin binding', 'calcium ion binding']",1,0,0,1,1,1,1,1,4,5
475,RAB6A,"RAB6A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9786]","['myosin V binding', 'GTP binding', 'protein domain specific binding', 'GTPase activity']",1,1,1,1,1,0,1,3,3,6
476,GRM5,glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597],"['protein tyrosine kinase binding', 'protein tyrosine kinase activator activity', 'neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration', 'glutamate receptor activity', 'identical protein binding', 'G protein-coupled receptor activity involved in regulation of postsynaptic membrane potential']",1,1,1,1,1,0,0,3,2,5
477,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229],"['ion channel binding', 'potassium channel regulator activity', 'aldo-keto reductase (NADP) activity', 'voltage-gated potassium channel activity']",1,1,1,1,1,0,0,3,2,5
478,SCN11A,sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583],"['voltage-gated sodium channel activity', 'voltage-gated ion channel activity']",1,0,0,0,0,0,0,1,0,1
479,GRID2,glutamate ionotropic receptor delta type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4576],"['ionotropic glutamate receptor activity', 'PDZ domain binding', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'scaffold protein binding']",1,1,0,0,0,0,0,2,0,2
480,KCNMA1,potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284],"['large conductance calcium-activated potassium channel activity', 'voltage-gated potassium channel activity', 'actin binding', 'metal ion binding']",1,1,1,1,1,0,0,3,2,5
481,RPL3,ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332],"['protein binding', '5S rRNA binding', 'structural constituent of ribosome']",1,0,0,1,1,1,1,1,4,5
482,RPSA,ribosomal protein SA [Source:HGNC Symbol;Acc:HGNC:6502],"['virus receptor activity', 'ribosome binding', 'structural constituent of ribosome', 'RNA binding', 'laminin binding', 'laminin receptor activity']",1,1,0,1,1,1,1,2,4,6
483,RPL31,ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,1,0,1,1,0,1,2,3,5
484,CORO1A,coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252],"['actin monomer binding', 'phosphatidylinositol 3-kinase binding', 'protein homodimerization activity', 'actin filament binding', 'myosin heavy chain binding', 'RNA binding', 'protein C-terminus binding']",1,1,1,1,1,1,1,3,4,7
485,RPL10A,ribosomal protein L10a [Source:HGNC Symbol;Acc:HGNC:10299],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,1,0,1,1,1,1,2,4,6
486,FILIP1,filamin A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21015],None,1,0,0,0,0,0,0,1,0,1
